Name,Price,Market Cap,Circulating Supply,Total Supply,Max Supply,All Time High Price,All Time High Date,All Time Low Price,All Time Low Date
OKB,21.89,1309901623.94,60000000,300000000,,,2000-01-01,,2000-01-01
Basic Attention Token,0.88,1315319646.17,1495079069,1500000000,1500000000.0,1.92,2021-11-28,0.06621,2017-07-16
Chiliz,0.22,1324652399.71,5975068035,8888888888,8888888888.0,0.8915,2021-03-13,0.004001,2019-09-27
Loopring,1.01,1340276154.58,1329247433,1373873440,1374513896.0,3.83,2021-11-10,0.01986,2019-12-18
Curve DAO Token,3.17,1404854708.12,443206806,1687553339,3303030299.0,60.5,2020-08-14,0.3316,2020-10-25
Kadena,8.44,1431317223.51,167816066,1000000000,1000000000.0,28.25,2021-11-11,0.1213,2021-01-11
TrueUSD,1.0,1477517905.32,1477731617,1477731617,,1.36,2018-05-16,0.9179,2020-03-13
THORChain,4.49,1481223605.71,330688061,334937975,500000000.0,21.26,2021-05-19,0.007939,2019-09-27
Kusama,178.21,1504452239.18,8470098,9651217,,623.75,2021-05-18,0.9158,2020-01-14
Huobi Token,10.0,1567838745.61,156741729,500000000,500000000.0,39.81,2021-05-12,0.8903,2019-01-30
KuCoin Token,20.28,1624018050.47,80118638,170118638,170118638.0,28.8,2021-12-01,0.3365,2019-01-31
Neo,23.44,1654110411.5,70538831,100000000,100000000.0,196.85,2018-01-15,0.07229,2016-10-21
Zcash,123.13,1687944873.86,13718419,13718419,21000000.0,5941.8,2016-10-29,18.94,2020-03-13
Enjin Coin,1.98,1692370453.78,854696206,1000000000,1000000000.0,4.85,2021-11-25,0.01562,2017-11-02
Quant,141.33,1706416469.74,12072738,14612493,14612493.0,428.38,2021-09-11,0.1636,2018-08-23
eCash,9.035e-05,1714402390.54,18975904673313,18899704673313,21000000000000.0,0.005112,2021-11-10,1.73e-05,2021-07-20
Livepeer,33.53,709644519.02,21164655,22859012,22906951.0,100.24,2021-11-09,0.4206,2020-03-13
Audius,1.19,727730964.92,608321992,1078933974,,4.99,2021-03-27,0.07774,2020-11-03
Ravencoin,0.07,739647370.83,10473290000,10473290000,21000000000.0,0.2854,2021-02-20,0.008794,2020-03-13
XDC Network,0.06,775661476.12,12305012699,37705012699,,0.1939,2021-08-21,0.0001571,2019-06-20
Celsius,3.39,809558978.13,238863520,695658160,695658160.0,8.02,2021-06-03,0.02235,2018-10-16
1inch Network,1.77,829627731.05,468181744,1500000000,,7.87,2021-05-08,0.7612,2020-12-29
Compound,132.77,871092818.75,6558637,10000000,10000000.0,911.2,2021-05-12,61.27,2020-06-18
yearn.finance,24447.4,895988068.01,36638,36666,36666.0,93435.53,2021-05-12,739.44,2020-07-21
Pax Dollar,1.0,942881832.35,945642940,945642940,,2.02,2021-11-16,0.8728,2020-03-13
Holo,0.01,943400211.23,173174228547,177619433541,,0.03157,2021-04-05,0.0002189,2020-03-13
Decred,69.42,955271248.14,13755620,13755620,21000000.0,250.02,2021-04-17,0.3948,2016-12-28
BORA,1.12,964244909.61,861250000,1205750000,,1.66,2021-11-25,0.00621,2020-01-18
Secret,6.68,1003287554.55,149815729,190165060,,10.64,2021-10-28,0.2554,2020-11-03
Symbol,0.18,1001514610.27,5582460005,7967988930,8999999999.0,0.7715,2021-03-21,0.08969,2021-06-22
NEM,0.11,1016601554.47,8999999999,8999999999,8999999999.0,2.09,2018-01-04,7.93e-05,2015-09-15
Mina,2.73,1020602898.66,374091004,824104972,,9.91,2021-06-01,0.9233,2021-07-21
IoTeX,0.11,1023106007.19,9540779324,9626124332,10000000000.0,0.2611,2021-11-13,0.001239,2020-03-13
Theta Fuel,0.22,1147668822.79,5301214400,5301214400,,0.6807,2021-06-09,0.0008897,2020-03-13
Waves,10.72,1149667695.24,107459716,107459716,,41.33,2021-05-04,0.1227,2016-08-02
Dash,110.87,1171957399.35,10573156,10573156,18900000.0,1642.22,2017-12-20,0.2139,2014-02-14
Nexo,2.1,1173853840.97,560000011,1000000000,1000000000.0,4.63,2021-11-16,0.04333,2018-09-12
Arweave,35.33,1178382663.71,33394701,63190435,66000000.0,90.94,2021-11-05,0.4854,2020-05-27
Oasis Network,0.34,1188488880.45,3493014306,10000000000,10000000000.0,0.5964,2022-01-15,0.03205,2020-11-26
Convex Finance,25.66,1268589860.38,49439050,83894768,100000000.0,62.69,2022-01-01,1.88,2021-07-20
Amp,0.03,1271544089.12,42227702186,99213408535,92547638199.0,0.1211,2021-06-16,0.0007946,2020-11-17
Celo,3.12,1271369846.26,407486151,1000000000,1000000000.0,10.66,2021-08-30,0.7955,2020-05-22
Bitcoin SV,98.05,1860602091.81,18975864,18975864,21000000.0,491.64,2021-04-16,36.87,2018-11-23
Maker,2085.52,2039153436.3,977631,977631,1005577.0,6339.02,2021-05-03,21.06,2017-01-30
Stacks,1.6,2070731218.37,1297731748,1352464600,1818000000.0,3.61,2021-11-16,0.04501,2020-03-13
BitTorrent (New),2.247e-06,2095247914.22,932497500000000,990000000000000,,3.054e-06,2022-01-18,1.9e-06,2022-01-22
The Graph,0.45,2139519539.3,4715735200,10000000000,10057044431.0,2.88,2021-02-12,,2020-12-17
PancakeSwap,8.03,2141579130.86,266794005,266794005,,44.18,2021-04-30,0.0002318,2020-09-29
Gala,0.33,2312010034.21,6977205436,35240112493,,0.8367,2021-11-26,0.000151,2020-12-28
Aave,175.75,2373497128.97,13513437,16000000,16000000.0,666.86,2021-05-18,,2020-10-02
Harmony,0.21,2438787526.29,11701831218,13346405218,,0.3798,2021-10-26,0.001257,2020-03-13
Flow,7.83,2488013160.84,318082398,1378211739,,46.16,2021-04-05,4.34,2022-01-24
EOS,2.55,2501984501.5,980176807,1046763032,,22.89,2018-04-29,0.4802,2017-10-23
IOTA,0.94,2609056266.69,2779530283,2779530283,2779530283.0,5.69,2017-12-19,0.07962,2020-03-13
Klaytn,1.17,3089792130.08,2631643888,10782297981,,4.38,2021-04-02,0.05733,2020-05-06
Helium,28.71,3168894562.07,110349761,223000000,223000000.0,55.22,2021-11-12,0.2534,2020-06-10
Monero,177.66,3206456096.02,18076918,18076918,,517.62,2021-05-07,0.213,2015-01-14
Tezos,4.11,3604189983.15,877521626,905736491,,9.18,2021-10-04,0.3146,2018-12-07
Elrond,176.28,3641278369.83,20715969,23016298,31415926.0,542.58,2021-11-23,6.54,2020-10-07
Filecoin,23.11,3678877986.47,159498411,159498411,,237.24,2021-04-01,1.83,2019-08-29
Axie Infinity,63.49,3865378182.2,60907500,270000000,270000000.0,165.37,2021-11-06,0.1234,2020-11-06
VeChain,0.06,4018263993.38,64315576989,86712634466,86712634466.0,0.2782,2021-04-17,0.001678,2020-03-13
Theta Network,4.15,4165933383.55,1000000000,1000000000,1000000000.0,15.9,2021-04-16,0.03977,2020-03-13
Internet Computer,21.44,4371015504.41,204047144,476876335,,750.73,2021-05-10,,2021-05-10
Hedera,0.25,4456557783.76,18092792421,50000000000,50000000000.0,0.5701,2021-09-16,0.01001,2020-01-02
Ethereum Classic,34.2,4547337280.54,132866358,210700000,210700000.0,176.16,2021-05-06,0.4524,2016-07-25
Bitcoin BEP2,43303.54,4547877221.2,105149,112501,,85563.99,2019-10-21,0.07685,2021-06-23
The Sandbox,4.48,4630640273.3,1035054385,3000000000,3000000000.0,8.44,2021-11-25,0.02894,2020-11-04
Fantom,2.1,5340447059.24,2545006273,2545006273,3175000000.0,3.48,2021-10-28,0.001953,2020-03-13
Stellar,0.23,5684480203.1,24892876847,50001802221,50001806812.0,0.9381,2018-01-04,0.001227,2014-11-18
Decentraland,3.2,5865333832.35,1832139198,2193847327,,5.9,2021-11-25,0.007883,2017-10-13
FTX Token,44.38,6114530122.5,138024908,333894244,352170015.0,85.02,2021-09-09,0.8313,2019-09-07
UNUS SED LEO,6.46,6169481804.56,953954130,985239504,,8.04,2022-02-08,0.8036,2019-12-25
Algorand,0.97,6347052145.23,6563629545,7005672047,10000000000.0,3.28,2019-06-21,0.1024,2020-03-13
Bitcoin Cash,337.17,6388310065.51,18979713,18979713,21000000.0,4355.62,2017-12-20,75.08,2018-12-15
TRON,0.07,6942118750.89,101789822496,101789819139,,0.3004,2018-01-05,0.001091,2017-09-15
Uniswap,11.35,7167543681.0,631451816,1000000000,1000000000.0,44.97,2021-05-03,0.419,2020-09-17
NEAR Protocol,11.65,7373276658.58,633014095,1000000000,1000000000.0,20.42,2022-01-16,0.526,2020-11-04
Chainlink,17.3,8080872348.46,467009550,1000000000,1000000000.0,52.88,2021-05-10,0.1263,2017-09-23
Cosmos,28.54,8162103944.73,286370297,,,44.7,2021-09-20,1.13,2020-03-13
Litecoin,132.04,9192243700.08,69612357,84000000,84000000.0,412.96,2021-05-10,1.11,2015-01-14
Dai,1.0,10227467320.67,10234783913,10234783913,,3.67,2021-11-16,0.9455,2020-05-10
TerraUSD,1.0,11272689055.69,11258807485,11258807295,,1.05,2021-01-30,0.7929,2020-12-30
Wrapped Bitcoin,43204.81,11317856004.53,261914,261914,,162188.26,2021-11-16,3330.12,2019-02-06
Crypto.com Coin,0.51,12812824769.47,25263013692,30263013692,30263013692.0,0.9698,2021-11-24,0.01149,2018-12-17
Polygon,1.83,13691088421.74,7477274364,10000000000,10000000000.0,2.92,2021-12-27,0.003012,2019-05-09
Shiba Inu,3.028e-05,16624251516.25,549063278876302,589735030408323,,8.845e-05,2021-10-28,8.2e-11,2020-09-01
Binance USD,1.0,17584562735.96,17575094794,17575094794,,1.11,2020-03-12,0.8861,2020-03-13
Dogecoin,0.15,20048312315.35,132670764300,132670764300,,0.7376,2021-05-08,8.547e-05,2015-05-07
Polkadot,20.47,20222009718.1,987579315,1103303471,,55.0,2021-11-04,2.69,2020-08-20
Terra,52.19,20974749289.42,401362694,818481818,,103.33,2021-12-27,0.1201,2020-03-13
Avalanche,90.58,22239641131.93,245279107,395891290,,146.22,2021-11-21,2.79,2020-12-31
Solana,105.25,33440468749.54,317630655,511616946,,260.06,2021-11-06,0.5052,2020-05-11
Cardano,1.14,38249148779.9,33592646022,34085668605,45000000000.0,3.1,2021-09-02,0.01735,2017-10-01
XRP,0.8226,39310831541.96,47832461678,99989769444,100000000000.0,3.84,2018-01-04,0.002802,2014-07-07
USD Coin,1.0,52103234992.62,52098051833,52098051833,,2.35,2021-11-16,0.9292,2020-03-13
BNB,412.67,68134166365.53,165116761,165116761,165116760.0,690.93,2021-05-10,0.09611,2017-08-01
Tether,1.0,78430975067.45,78385451173,81074697053,,1.22,2015-02-25,0.5683,2015-03-02
Ethereum,3065.57,366424227588.54,119529134,119529134,,4891.7,2021-11-16,0.4209,2015-10-21
Bitcoin,43191.13,818437525911.3,18954337,18954337,21000000.0,68789.63,2021-11-10,65.53,2013-07-05
